filename,Young Little Kid (Kelly),In_Europe(Alex),Board Games (Kelly),Kelly’s Husband (Kelly),Close up pictures of people ~ selfies (Kelly),Vertical lines emphasis (Alex),Framing (Alex),One Point Perspective (Alex),Flat Perspective (Kelly),Vast color distribution (Kelly)
36,N,N,N,N,N,Y,N,Y,N,N
37,N,N,N,N,N,N,N,Y,N,N
38,N,N,N,N,N,N,N,Y,N,N
39,N,Y,N,N,N,N,Y,Y,N,N
40,N,N,N,N,N,N,N,N,Y,N
41,N,Y,N,N,N,N,N,Y,Y,N
42,N,N,N,N,N,N,N,N,N,N
43,N,N,N,N,N,N,N,Y,N,N
44,N,N,N,N,N,N,Y,N,N,N
45,N,N,N,N,N,Y,N,Y,N,N
46,N,N,N,N,N,Y,N,Y,N,N
47,N,N,N,N,N,N,N,N,N,N
48,N,N,N,N,N,N,N,N,Y,N
49,N,N,N,N,Y,N,N,Y,N,N
50,Y,N,N,N,N,N,N,Y,N,N
51,N,N,N,N,N,Y,N,N,Y,N
52,N,N,N,N,N,N ,N,N,N,N
53,N,N,N,N,N,Y,N,Y,N,N
54,N,N,N,N,N,N,N,Y,N,N
55,N,N,N,N,N,Y,N,Y,N,N
56,N,N,N,N,N,N,N,Y,N,N
57,N,N,N,N,N,Y,N,Y,N,N
58,N,N,N,N,N,N,N,N,N,N
59,N,Y,N,N,N,Y,Y,Y,N,N
60,N,Y,N,N,N,Y,Y,Y,N,N
61,N,N,N,N,N,N,Y,Y,N,N
62,N,N,N,N,N,N,Y,Y,N,N
63,N,N,N,N,N,N,Y,Y,N,N
64,N,N,N,N,N,N,Y,Y,N,N
65,N,N,N,N,N ,N,N,N,N,N
66,N,Y,N,N,N ,Y,Y,N,N,N
67,N,N,N,N,N ,N,N,N,N,N
68,N,N,N,N,N ,N,Y,N,N,N
69,N,N,N,N,Y,N,N,N,N,Y
70,N,N,N,N,N ,N,Y,Y,N,Y
71,N,N,N,N,N ,N,N,N,N,Y
72,N,Y,N,N,N ,Y,Y,N,N,N
73,N,Y,N,N,N ,Y,Y,N,N,N
74,N,N,N,N,N ,N,Y,N,Y,Y
75,N,N,N,N,N ,N,Y,N,N,N
76,Y,N,N,N,Y,N,Y,N,N,Y
77,N,N,N,N,N ,N,Y,Y,N,Y
78,Y,N,N,N,N ,Y,Y,N,N,N
79,Y,N,N,N,Y,N,N,Y,N,Y
80,N,N,N,N,N ,N,Y,N,Y,N
81,N,N,N,N,N,N,N,N,N,N
82,N,N,N,N,N,N,Y,Y,N,N
83,N,N,N,N,N,N,N,N,Y,N
84,N,N,N,N,N,N,N,N,Y,N
85,N,N,N,N,N,N,Y,N,Y,N
86,N,N,N,N,N,N,N,N,Y,N
87,N,N,N,N,N,N,N,N,Y,Y
88,N,N,N,N,N,N,N,N,Y,Y
89,N,N,N,N,N,N,Y,N,Y,Y
90,N,N,N,N,N,N,Y,N,N,N
91,N,N,N,N,N,N,N,Y,N,Y
92,N,Y,N,N,N,Y,Y,Y,N,N
93,N,Y,N,N,N,N,N,N,N,N
94,Y,Y,N,N,N,N,N,N,N,Y
95,N,N,N,N,N,Y,N,N,N,N
96,N,Y,N,N,N,Y,N,N,N,Y
97,N,Y,N,N,N,N,Y,Y,N,Y
98,N,Y,N,N,N,Y,Y,Y,N,N
99,N,N,N,N,N,N,Y,Y,N,Y
100,N,Y,N,N,N,Y,Y,N,N,Y
101,N,Y,N,N,N,Y,Y,N,N,Y
102,N,Y,N,N,N,N,N,N,N,Y
103,N,Y,N,N,N,N,N,N,N,Y
104,N,Y,N,N,N,N,N,N,N,N
105,N,N,N,N,N,N,N,N,N,N
106,N,Y,N,N,N,Y,Y,Y,N,N
107,N,Y,N,N,N,N,N,N,Y,Y
108,N,Y,N,N,N,N,Y,N,N,Y
109,N,Y,N,N,N,N,Y,N,N,N
110,N,N,N,N,N,N,N,N,N,N
111,N,Y,N,N,N,N,Y,N,N,Y
112,N,Y,N,N,N,N,N,N,Y,Y
113,N,Y,N,N,N,N,Y,N,N,N
114,N,Y,N,N,N,Y,Y,Y,N,Y
115,N,Y,N,N,N,N,N,N,Y,Y
116,N,Y,N,N,N,N,N,Y,N,N
117,M,Y,N,N,N,N,Y,N,N,N
118,N,Y,N,N,N,N,N,N,N,N
119,N,Y,N,N,N,N,Y,Y,N,Y
120,N,Y,N,N,N,N,Y,Y,N,Y
121,N,N,N,N,N,N,Y,N,N,N
122,N,Y,N,N,N,Y,Y,Y,N,Y
123,N,Y,N,N,N,N,N,N,N,Y
124,N,Y,N,N,N,Y,N,N,N,N
125,N,Y,N,N,N,N,N,N,Y,N
126,N,Y,N,N,N,N,N,N,Y,N
127,N,N,N,N,N,N,N,N,Y,N
128,N,Y,N,N,N,Y,Y,Y,N,N
129,N,N,N,N,N,Y,N,N,N,Y
130,N,Y,N,N,N,Y,Y,Y,N,N
131,N,Y,N,N,N,Y,Y,Y,N,N
132,N,Y,N,N,N,Y,Y,Y,N,N
133,N,Y,N,N,N,Y,Y,N,N,N
134,N,Y,N,N,N,Y,Y,Y,N,N
135,N,Y,N,N,N,N,Y,Y,N,N
136,N,Y,N,N,N,Y,Y,Y,N,N
137,N,Y,N,N,N,Y,Y,Y,N,N
138,N,Y,N,N,N,N,N,Y,Y,Y
139,N,Y,N,N,N,Y,Y,Y,N,N
140,N,Y,N,N,N,N,Y,Y,N,N
141,N,Y,N,N,N,Y,Y,Y,N,N
142,N,Y,N,N,N,Y,Y,Y,N,Y
143,N,Y,N,N,N,Y,Y,Y,N,N
144,N,Y,N,N,N,Y,Y,Y,N,Y
145,N,Y,N,N,N,Y,Y,Y,N,N
146,N,Y,N,N,N,Y,Y,Y,N,N
147,N,Y,N,N,N,Y,Y,Y,N,N
148,N,Y,N,N,N,Y,Y,Y,N,N
149,N,Y,N,N,N,Y,Y,Y,N,N
150,N,Y,N,N,N,Y,Y,Y,N,N
151,N,Y,N,N,N,Y,Y,Y,N,Y
152,N,Y,N,N,N,Y,Y,Y,N,N
153,N,Y,N,N,N,Y,Y,Y,N,N
154,N,Y,N,N,N,N,N,N,N,N
155,N,Y,N,N,N,Y,Y,Y,N,N
156,N,Y,N,N,N,N,Y,Y,N,N
157,N,Y,N,N,N,N,Y,N,N,N
158,N,Y,N,N,N,Y,Y,Y,N,N
159,N,Y,N,N,N,N,Y,Y,N,N
160,N,Y,N,N,N,Y,Y,Y,N,N
161,N,Y,N,N,N,Y,Y,Y,N,N
162,N,Y,N,N,N,Y,Y,N,N,N
163,N,Y,N,N,N,N,N,N,N,N
164,N,Y,N,N,N,Y,Y,Y,N,N
165,N,Y,N,N,N,Y,Y,Y,N,N
166,N,Y,N,N,N,Y,Y,Y,N,N
167,N,Y,N,N,N,N,N,Y,N,Y
168,N,Y,N,N,N,Y,Y,Y,N,N
169,N,Y,N,N,N,Y,Y,N,Y,N
170,N,Y,N,N,N,Y,Y,N,N,Y
171,N,Y,N,N,N,Y,N,N,N,N
172,N,Y,N,N,N,Y,Y,Y,N,N
173,N,Y,N,N,N,Y,Y,Y,N,Y
174,N,Y,N,N,N,Y,Y,Y,N,N
175,N,Y,N,N,N,Y,Y,N,N,N
176,N,Y,N,N,N,Y,Y,Y,N,N
177,N,Y,N,N,N,Y,Y,Y,N,N
178,N,Y,N,N,N,Y,Y,Y,N,Y
179,N,Y,N,N,N,Y,Y,Y,N,N
180,N,Y,N,N,N,Y,Y,Y,N,N
181,N,Y,N,N,N,N,Y,Y,N,N
182,N,Y,N,N,N,Y,N,N,N,N
183,N,N,N,N,N,N,Y,N,N,N
184,N,N,N,N,N,N,Y,N,N,N
185,N,Y,N,N,N,Y,Y,Y,N,N
186,N,Y,N,N,N,Y,Y,Y,N,N
187,N,N,N,N,N,Y,Y,N,N,N
188,N,N,N,N,N,Y,Y,Y,N,N
189,N,Y,N,N,N,Y,Y,Y,N,N
190,N,Y,N,N,N,Y,Y,Y,N,N
191,N,N,N,N,N,Y,N,Y,N,N
192,N,N,N,N,N,Y,Y,Y,N,N
193,N,N,N,N,N,Y,Y,Y,N,N
194,N,Y,N,N,N,N,Y,N,Y,N
195,N,Y,N,N,N,N,N,Y,N,N
196,N,Y,N,N,N,N,N,Y,N,N
197,N,Y,N,N,N,N,N,N,Y,N
198,N,Y,N,N,N,N,N,N,Y,N
199,N,Y,N,N,N,N,N,N,Y,Y
200,N,N,N,N,N,N,N,Y,N,N
201,N,N,N,N,N,N,N,N,N,N
202,N,N,N,N,N,N,N,N,N,N
203,N,N,N,N,N,N,N,N,N,N
204,N,N,N,N,N,N,N,N,N,N
205,N,N,N,N,N,N,N,N,N,N
206,N,N,N,N,N,N,N,N,N,N
207,N,N,N,N,N,Y,N,Y,N,N
208,N,N,N,N,N,N,N,N,N,Y
209,N,N,N,N,N,N,N,N,Y,N
210,N,N,N,N,N,N,Y,N,Y,N
211,N,N,N,N,N,N,Y,N,Y,N
212,N,N,N,N,N,N,N,Y,N,N
213,N,N,N,N,N,Y,Y,N,N,Y
214,N,N,N,N,N,Y,N,N,N,Y
215,N,N,N,N,N,N,N,N,Y,N
216,N,N,N,N,N,Y,Y,Y,N,N
217,N,N,N,N,N,N,Y,N,N,N
218,N,N,N,N,N,N,Y,N,Y,N
219,N,Y,N,N,N,N,N,N,Y,N
220,N,Y,N,N,N,Y,Y,Y,N,N
221,N,Y,N,N,N,Y,Y,N,Y,N
222,N,N,N,N,N,N,N,N,Y,N
223,N,Y,N,N,N,Y,Y,Y,N,N
224,N,N,N,N,N,N,N,N,Y,Y
225,N,Y,N,N,N,N,N,N,Y,Y
226,N,Y,N,N,N,N,N,N,N,N
227,N,Y,N,N,N,N,N,N,Y,N
228,N,Y,N,N,N,Y,N,N,Y,N
229,N,Y,N,N,N,Y,N,N,Y,N
230,N,Y,N,N,N,Y,Y,N,Y,Y
231,N,Y,N,N,N,Y,Y,Y,N,Y
232,N,Y,N,N,N,Y,N,Y,N,Y
233,N,Y,N,N,N,N,N,N,Y,Y
234,N,Y,N,N,N,N,N,Y,N,N
235,Y,Y,N,N,N,Y,Y,Y,N,Y
236,N,Y,N,N,N,Y,Y,Y,N,Y
237,N,Y,N,N,N,Y,N,N,Y,N
238,N,Y,N,N,N,N,N,N,Y,Y
239,N,Y,N,N,N,N,N,N,Y,N
240,N,Y,N,N,N,N,N,N,Y,Y
241,N,Y,N,N,N,N,N,Y,N,N
242,N,Y,N,N,N,N,N,Y,N,N
243,N,Y,N,N,N,Y,Y,Y,N,N
244,N,Y,N,N,N,Y,N,N,Y,N
245,N,Y,N,N,N,N,N,Y,N,Y
246,N,Y,N,N,N,N,N,N,Y,N
247,N,Y,N,N,N,N,N,N,Y,N
248,N,Y,N,N,N,N,N,Y,N,N
249,N,Y,N,N,N,Y,N,Y,N,N
250,N,Y,N,N,N,N,N,N,Y,N
251,N,Y,N,N,N,N,N,Y,N,Y
252,N,Y,N,N,N,N,N,N,Y,N
253,N,Y,N,N,N,N,N,N,Y,Y
254,N,Y,N,N,N,N,N,N,Y,N
255,N,N,N,N,N,N,N,N,Y,N
256,N,N,N,N,N,N,N,N,Y,N
